"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"FC","2018-05-13","91.0","-1.6593","6.8224","Mookie Betts",605141,607352,"null","ball",,,,,"14","null","R","R","R","TOR","BOS","B","null","null",0,1,2018,"0.2328","1.1623","1.1051","2.0536","null","null","null",1,5,"Top","null","null",,,431145,,"180513_185245","6.3788","-132.0946","-8.3929","1.3104","28.3608","-17.2326","3.2850","1.4870","null","null","null","90.0920","2130","5.8870",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.6124","null","null","null","null","null","null","null",37,"2","Cutter",0,3,3,0,3,0,3,0
"CU","2018-05-13","74.4","-1.9652","6.7247","Mookie Betts",605141,607352,"null","called_strike",,,,,"5","null","R","R","R","TOR","BOS","S","null","null",0,0,2018,"0.8916","-1.6100","0.1963","2.6404","null","null","null",1,5,"Top","null","null",,,431145,,"180513_185229","2.8648","-107.9546","1.6523","6.0646","21.5773","-44.8017","3.2069","1.4800","null","null","null","72.3690","2709","5.2380",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"55.2617","null","null","null","null","null","null","null",37,"1","Curveball",0,3,3,0,3,0,3,0
"FF","2018-05-13","93.5","-1.5235","6.7359","Mookie Betts",605141,607352,"single","hit_into_play_no_out",,,,,"6","Mookie Betts singles on a ground ball to right fielder Teoscar Hernandez.   Jackie Bradley to 3rd.  ","R","R","R","TOR","BOS","X","null","ground_ball",2,2,2018,"-0.8664","0.9626","0.6738","2.3549","null","null","598265.00",0,3,"Top","183.59","119.48",,,431145,,"180513_180146","7.4830","-135.9770","-7.6933","-12.0394","22.9772","-19.0839","3.2850","1.4870","5","96.1","-23.9660","93.7260","1953","5.9490",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.5503","0.147","0.121","0.90",1,1,0,2,20,"8","4-Seam Fastball",0,2,2,0,2,0,2,0
"FF","2018-05-13","93.5","-1.4867","6.7174","Mookie Betts",605141,607352,"null","ball",,,,,"12","null","R","R","R","TOR","BOS","B","null","null",1,2,2018,"-0.7461","1.1058","1.2793","2.6393","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_180121","8.7204","-135.7837","-7.1756","-10.9702","27.1217","-17.2684","3.2850","1.4870","null","null","null","93.4360","2066","6.1670",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.3332","null","null","null","null","null","null","null",20,"7","4-Seam Fastball",0,2,2,0,2,0,2,0
"FC","2018-05-13","88.8","-1.9711","6.7506","Mookie Betts",605141,607352,"null","foul",,,,,"3","null","R","R","R","TOR","BOS","S","null","null",1,2,2018,"0.2143","0.6436","0.5458","3.1149","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_180044","5.6719","-129.2440","-4.2012","1.3234","23.9815","-24.4742","3.2850","1.4870","null","null","null","88.4500","2149","5.8150",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.6846","null","null","null","null","null","null","null",20,"6","Cutter",0,2,2,0,2,0,2,0
"FF","2018-05-13","93.0","-1.7936","6.7661","Mookie Betts",605141,607352,"null","foul",,,,,"2","null","R","R","R","TOR","BOS","S","null","null",1,2,2018,"-0.8027","1.1011","-0.2545","2.7329","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_175957","5.6079","-135.2420","-6.9250","-10.8132","25.4128","-17.6948","3.2850","1.4870","157","73.5","20.5338","92.6330","1965","5.7990",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.7008","null","null","null","null","null","null","null",20,"5","4-Seam Fastball",0,2,2,0,2,0,2,0
"CU","2018-05-13","78.0","-1.8900","6.6432","Mookie Betts",605141,607352,"null","foul",,,,,"6","null","R","R","R","TOR","BOS","S","null","null",1,2,2018,"0.8017","-1.5598","0.3453","2.1467","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_175858","3.3196","-113.3274","0.1271","5.8999","24.3304","-45.3724","3.2850","1.4870","8","79.8","-17.3018","76.1840","2763","5.4590",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"55.0410","null","null","null","null","null","null","null",20,"4","Curveball",0,2,2,0,2,0,2,0
"CU","2018-05-13","75.9","-2.0248","6.7120","Mookie Betts",605141,607352,"null","called_strike",,,,,"5","null","R","R","R","TOR","BOS","S","null","null",1,1,2018,"0.9104","-1.8309","0.0168","2.2870","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_175817","2.6398","-110.1595","1.2294","6.4722","25.0940","-47.0037","3.2850","1.4870","null","null","null","73.9220","2764","5.6110",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.8887","null","null","null","null","null","null","null",20,"3","Curveball",0,2,2,0,2,0,2,0
"CH","2018-05-13","84.1","-1.8571","6.6540","Mookie Betts",605141,607352,"null","called_strike",,,,,"1","null","R","R","R","TOR","BOS","S","null","null",1,0,2018,"-1.0625","0.6240","-0.4840","3.2214","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_175744","5.2667","-122.3230","-2.7687","-11.6572","24.9262","-25.6230","3.2850","1.4870","null","null","null","83.8210","1621","6.2060",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"54.2938","null","null","null","null","null","null","null",20,"2","Changeup",0,2,2,0,2,0,2,0
"CU","2018-05-13","77.5","-2.0325","6.6842","Mookie Betts",605141,607352,"null","blocked_ball",,,,,"14","null","R","R","R","TOR","BOS","B","null","null",0,0,2018,"0.9524","-1.7103","1.1691","0.4795","null","null","598265.00",0,3,"Top","null","null",,,431145,,"180513_175715","5.0434","-112.3901","-3.0295","6.4437","25.7651","-45.4759","3.0759","1.4360","null","null","null","74.8860","2647","5.1660",530003,607352,431145,475253,500208,518626,620446,546990,607680,606192,"55.3338","null","null","null","null","null","null","null",20,"1","Curveball",0,2,2,0,2,0,2,0
